sample_id,decision,label,strength,event_start,event_end,landing_zone,trajectory_type,region,bounce,reason
G_009,accept,,,0.970,1.070,,,1,no,"The prior 2.220-2.320 interval was after the camera cut. The repaired interval brackets the visible collision and 1.02 s transient; the ball deflects off third base, fixing region 1 and bounce no."
G_012,accept,,,,,,1,yes,"Contact and the 2.04 s audio peak align in the current interval. MLB source and full-play frames show a third-baseman grounder, fixing region 1; the low fielding moment supports bounce yes."
G_016,accept,,,,,,2,yes,"Contact and the 1.26 s transient align. MLB source and full-play frames show CJ Abrams fielding on the shortstop side, fixing region 2; the low backhand receiving moment supports bounce yes."
F_008,accept,,,,,,,,,"25 fps frames show contact in the current interval and the spectrogram has a distinct broadband vertical transient at about 3.45 s; retain despite RMS ratio 1.72."
F_017,accept,,,,,,,,,"25 fps frames show contact near 1.23 s and the spectrogram has a distinct broadband transient at the same time; retain despite a noisy baseline."
F_018,accept,,,,,,,,,"25 fps frames show contact near 1.97 s and the spectrogram has a strong narrow broadband transient at the same time; retain despite RMS ratio 1.33."
F_021,accept,,,,,,,,,"25 fps frames show contact near 1.59 s and the spectrogram contains a narrow all-band transient at the same time; retain after manual audio-visual review."
F_022,accept,,,,,,,,,"25 fps frames show contact near 3.49 s and the spectrogram has a clear isolated broadband transient at that time; retain despite the median-based ratio."
F_026,accept,,,,,,,,,"25 fps frames show contact near 2.35 s and the spectrogram contains a strong isolated broadband transient aligned with it."
F_037,accept,,,,,,,,,"25 fps frames show contact near 1.65 s and the spectrogram contains a strong isolated broadband transient aligned with it."
F_038,accept,,,,,,,,,"25 fps frames show contact near 1.72 s and the spectrogram contains a strong isolated broadband transient aligned with it."
F_039,accept,,,,,,,,,"25 fps frames show contact near 1.31 s and the spectrogram contains a narrow broadband transient at the same time; retain after manual review."
F_042,reject,,,,,,,,,"The swing is visible, but the contact interval has no distinct broadband contact transient in the spectrogram and the local ratio is 0.84; unsuitable for the contact-sound dataset."
F_066,accept,,,,,,,,,"25 fps frames show contact near 1.92 s and the spectrogram contains a clear isolated broadband transient at the same time."
F_078,reject,,,,,,,,,"The clip begins after the actual collision; 25 fps review around the apparent 1.17 s audio peak and the labeled 2.32-2.42 s interval shows only follow-through or a camera cut, so contact is absent."
F_024,accept,,,,,,,,,"25 fps frames place contact in the current 1.020-1.120 interval and its local transient ratio is 6.58; reject the model interval that incorrectly begins at 0.56 s."
F_025,accept,,,,,,,,,"25 fps frames place contact in the current 0.960-1.060 interval with adequate pre-contact context and a local transient ratio of 8.44; reject the erroneous 0.035-0.135 proposal."
F_031,accept,,,,,,,,,"25 fps frames place contact in the current 0.980-1.080 interval and its local transient ratio is 11.67; reject the erroneous 0.233-0.300 proposal."
F_055,accept,,,,,,,,,"25 fps frames place contact in the current 1.100-1.200 interval and its local transient ratio is 4.17; reject the model's early 0.38-0.58 proposal."
F_049,accept,,,3.390,3.490,,,,,"25 fps frames centered on the 3.44 s broadband transient show the collision there; replace the late 4.000-4.100 interval, which is already at the camera transition."
F_056,accept,,,,,,,,,"25 fps frames and the isolated 1.78 s broadband transient support the current 1.740-1.840 interval; reject the 2.36 s timing proposal, which aligns with later broadcast audio."
F_059,accept,,,,,,,,,"The current 1.340-1.440 interval contains the visible collision and a strong isolated 1.40 s broadband transient; full-play frames support zone 4, high strength, and line-drive trajectory."
F_065,accept,,,,,,,,,"The current 0.970-1.070 interval contains the visible collision and isolated 1.02 s broadband transient; reject the impossible 0.00-0.04 model proposal."
F_069,accept,,,,,,,,,"25 fps frames place contact in the current 4.120-4.220 interval and the local transient ratio is 4.16; full-play frames support zone 7, high strength, and fly trajectory."
F_070,accept,,,3.110,3.210,,,,,"25 fps frames place contact at about 3.16 s and the local transient ratio is 3.10; retain zone 7, medium strength, and line-drive fields from the complete play."
F_081,accept,,,4.310,4.410,,,,,"25 fps frames place contact at about 4.36 s and the local transient ratio is 5.65; retain zone 5, medium strength, and line-drive fields."
F_085,accept,,,3.070,3.170,,,,,"25 fps frames place contact at about 3.12 s and the local transient ratio is 4.02; replace the late 4.540-4.640 interval and retain zone 2 medium pop-fly fields."
F_090,accept,,,3.390,3.490,,,,,"25 fps frames place contact at about 3.44 s and the local transient ratio is 20.29; replace the late 4.620-4.720 interval and retain zone 1 medium line-drive fields."
F_094,accept,,,1.370,1.470,,,,,"25 fps frames and the isolated 1.42 s broadband transient identify contact there; replace the late 2.440-2.540 interval and retain zone 4 high fly fields."
F_103,accept,,,1.410,1.510,,,,,"25 fps frames and the isolated 1.46 s broadband transient identify contact there; replace the late 2.600-2.700 interval and retain MLB-supported zone 3 medium fly fields."
F_119,accept,,,,,,,,,"MLB source and the full play identify a line-drive triple, not a ground ball. The current contact interval has a local transient ratio of 2.21; retain fly_ball, zone 6, medium strength, and line_drive."
