sample_id,sample_path,label,timing_status,semantics_status,adjudication_status,final_status,reviewed_stages,notes
F_076,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_076,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_077,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_077,fly_ball,correct,pass,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_078,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_078,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_079,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_079,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_080,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_080,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_082,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_082,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_083,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_083,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_084,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_084,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_086,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_086,fly_ball,correct,pass,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_087,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_087,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_088,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_088,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_089,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_089,fly_ball,review,reject,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_091,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_091,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_092,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_092,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_093,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_093,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_095,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_095,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_096,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_096,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_097,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_097,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_098,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_098,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_099,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_099,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_100,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_100,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_101,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_101,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_102,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_102,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_104,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_104,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_105,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_105,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_106,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_106,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_107,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_107,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_108,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_108,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_110,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_110,fly_ball,correct,pass,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_111,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_111,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_112,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_112,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_113,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_113,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_114,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_114,fly_ball,correct,pass,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_115,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_115,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_116,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_116,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_117,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_117,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_118,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_118,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_120,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_120,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_121,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_121,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_123,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_123,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_124,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_124,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_125,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_125,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_126,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_126,fly_ball,review,correct,reject,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_127,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_127,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_002,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_002,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_003,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_003,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_005,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_005,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_007,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_007,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_008,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_008,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_010,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_010,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_011,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_011,ground_ball,review,reject,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_013,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_013,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_014,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_014,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_015,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_015,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_017,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_017,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_018,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_018,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_019,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_019,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_020,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_020,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_021,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_021,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_022,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_022,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_023,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_023,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_024,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_024,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_025,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_025,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_026,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_026,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_027,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_027,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_028,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_028,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_029,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_029,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_030,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_030,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_031,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_031,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_032,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_032,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_033,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_033,ground_ball,correct,reject,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_038,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_038,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_039,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_039,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_040,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_040,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_041,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_041,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_042,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_042,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_043,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_043,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_045,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_045,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_046,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_046,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_047,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_047,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_049,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_049,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_050,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_050,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_051,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_051,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_052,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_052,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_053,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_053,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_055,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_055,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_056,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_056,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_057,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_057,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_059,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_059,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_060,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_060,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_061,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_061,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_064,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_064,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_067,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_067,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_068,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_068,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_070,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_070,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_071,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_071,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_072,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_072,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_073,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_073,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_074,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_074,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_075,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_075,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_076,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_076,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_077,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_077,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_079,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_079,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_082,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_082,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_083,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_083,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_085,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_085,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_086,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_086,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_087,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_087,ground_ball,reject,reject,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_088,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_088,ground_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_089,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_089,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_090,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_090,ground_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_091,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_091,ground_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
G_092,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_092,ground_ball,reject,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
