sample_id,sample_path,status,audio_ratio,changed_fields,old_values,new_values,reason
F_030,dataset\fly_ball\Codex_Workstation\F_030,auto_applied,34.087,"event_start,event_end","{""event_end"": ""3.300"", ""event_start"": ""3.200""}","{""event_end"": ""4.770"", ""event_start"": ""4.670""}","strict timing, semantics, and adjudication gates passed"
F_031,dataset\fly_ball\Codex_Workstation\F_031,manual_applied,,,{},{},25 fps frames place contact in the current 0.980-1.080 interval and its local transient ratio is 11.67; reject the erroneous 0.233-0.300 proposal.
F_032,dataset\fly_ball\Codex_Workstation\F_032,auto_applied,8.205,"event_start,event_end","{""event_end"": ""3.500"", ""event_start"": ""3.400""}","{""event_end"": ""3.510"", ""event_start"": ""3.410""}","strict timing, semantics, and adjudication gates passed"
F_033,dataset\fly_ball\Codex_Workstation\F_033,auto_applied,10.079,"event_start,event_end","{""event_end"": ""1.820"", ""event_start"": ""1.720""}","{""event_end"": ""1.830"", ""event_start"": ""1.730""}","strict timing, semantics, and adjudication gates passed"
F_034,dataset\fly_ball\Codex_Workstation\F_034,auto_applied,9.335,"event_start,event_end","{""event_end"": ""3.440"", ""event_start"": ""3.340""}","{""event_end"": ""3.330"", ""event_start"": ""3.230""}","strict timing, semantics, and adjudication gates passed"
F_035,dataset\fly_ball\Codex_Workstation\F_035,auto_applied,3.209,"event_start,event_end","{""event_end"": ""3.760"", ""event_start"": ""3.660""}","{""event_end"": ""3.270"", ""event_start"": ""3.170""}","strict timing, semantics, and adjudication gates passed"
F_036,dataset\fly_ball\Codex_Workstation\F_036,auto_applied,8.803,"event_start,event_end","{""event_end"": ""3.540"", ""event_start"": ""3.440""}","{""event_end"": ""3.510"", ""event_start"": ""3.410""}","strict timing, semantics, and adjudication gates passed"
F_037,dataset\fly_ball\Codex_Workstation\F_037,manual_applied,,,{},{},25 fps frames show contact near 1.65 s and the spectrogram contains a strong isolated broadband transient aligned with it.
F_038,dataset\fly_ball\Codex_Workstation\F_038,manual_applied,,,{},{},25 fps frames show contact near 1.72 s and the spectrogram contains a strong isolated broadband transient aligned with it.
F_039,dataset\fly_ball\Codex_Workstation\F_039,manual_applied,,,{},{},25 fps frames show contact near 1.31 s and the spectrogram contains a narrow broadband transient at the same time; retain after manual review.
F_040,dataset\fly_ball\Codex_Workstation\F_040,auto_applied,2.382,"event_start,event_end","{""event_end"": ""0.870"", ""event_start"": ""0.770""}","{""event_end"": ""0.983"", ""event_start"": ""0.883""}","strict timing, semantics, and adjudication gates passed"
F_041,dataset\fly_ball\Codex_Workstation\F_041,auto_applied,7.053,"event_start,event_end","{""event_end"": ""3.500"", ""event_start"": ""3.400""}","{""event_end"": ""3.490"", ""event_start"": ""3.390""}","strict timing, semantics, and adjudication gates passed"
F_042,dataset\fly_ball\Codex_Workstation\F_042,manual_reject,,,{},{},"The swing is visible, but the contact interval has no distinct broadband contact transient in the spectrogram and the local ratio is 0.84; unsuitable for the contact-sound dataset."
F_043,dataset\fly_ball\Codex_Workstation\F_043,manual_applied,,,{},{},Current interval covers the visible swing and has a local transient ratio of 8.64; reject weaker proposed timing.
F_044,dataset\fly_ball\Codex_Workstation\F_044,auto_applied,37.909,"event_start,event_end","{""event_end"": ""3.460"", ""event_start"": ""3.360""}","{""event_end"": ""3.430"", ""event_start"": ""3.330""}","strict timing, semantics, and adjudication gates passed"
F_045,dataset\fly_ball\Codex_Workstation\F_045,auto_applied,6.580,"event_start,event_end","{""event_end"": ""2.960"", ""event_start"": ""2.860""}","{""event_end"": ""2.180"", ""event_start"": ""2.080""}","strict timing, semantics, and adjudication gates passed"
F_046,dataset\fly_ball\Codex_Workstation\F_046,auto_applied,8.313,"event_start,event_end","{""event_end"": ""0.960"", ""event_start"": ""0.860""}","{""event_end"": ""0.970"", ""event_start"": ""0.870""}","strict timing, semantics, and adjudication gates passed"
F_047,dataset\fly_ball\Codex_Workstation\F_047,manual_review,4.449,,{},{},adjudication evidence gate failed
F_048,dataset\fly_ball\Codex_Workstation\F_048,manual_applied,,,{},{},Current interval covers the visible contact; spectrogram shows a usable transient despite a high-noise baseline.
F_049,dataset\fly_ball\Codex_Workstation\F_049,manual_applied,,"event_start,event_end","{""event_end"": ""4.100"", ""event_start"": ""4.000""}","{""event_end"": ""3.490"", ""event_start"": ""3.390""}","25 fps frames centered on the 3.44 s broadband transient show the collision there; replace the late 4.000-4.100 interval, which is already at the camera transition."
F_050,dataset\fly_ball\Codex_Workstation\F_050,manual_reject,,,{},{},Visible swing is present but no clear short contact transient exists near the collision; unsuitable for contact-sound dataset.
F_051,dataset\fly_ball\Codex_Workstation\F_051,manual_review,53.331,,{},{},adjudication evidence gate failed
F_052,dataset\fly_ball\Codex_Workstation\F_052,manual_applied,,,{},{},Current interval covers the visible swing and has a local transient ratio of 11.90; reject weaker proposed timing.
F_053,dataset\fly_ball\Codex_Workstation\F_053,manual_review,7.530,,{},{},adjudication evidence gate failed
F_054,dataset\fly_ball\Codex_Workstation\F_054,manual_applied,,,{},{},Current interval covers the visible swing and has a local transient ratio of 9.95; reject weaker proposed timing.
F_055,dataset\fly_ball\Codex_Workstation\F_055,manual_applied,,,{},{},25 fps frames place contact in the current 1.100-1.200 interval and its local transient ratio is 4.17; reject the model's early 0.38-0.58 proposal.
F_056,dataset\fly_ball\Codex_Workstation\F_056,manual_applied,,,{},{},"25 fps frames and the isolated 1.78 s broadband transient support the current 1.740-1.840 interval; reject the 2.36 s timing proposal, which aligns with later broadcast audio."
F_057,dataset\fly_ball\Codex_Workstation\F_057,manual_review,10.450,,{},{},adjudication evidence gate failed
F_058,dataset\fly_ball\Codex_Workstation\F_058,manual_review,48.127,,{},{},adjudication evidence gate failed
F_059,dataset\fly_ball\Codex_Workstation\F_059,manual_applied,,,{},{},"The current 1.340-1.440 interval contains the visible collision and a strong isolated 1.40 s broadband transient; full-play frames support zone 4, high strength, and line-drive trajectory."
F_060,dataset\fly_ball\Codex_Workstation\F_060,manual_review,19.152,,{},{},adjudication evidence gate failed
F_061,dataset\fly_ball\Codex_Workstation\F_061,manual_applied,,,{},{},Current interval covers the visible swing and has a local transient ratio of 25.34; reject weaker proposed timing.
F_062,dataset\fly_ball\Codex_Workstation\F_062,manual_applied,,,{},{},Current interval covers the visible swing and has a local transient ratio of 11.55; reject weaker proposed timing.
F_063,dataset\fly_ball\Codex_Workstation\F_063,manual_review,15.416,,{},{},adjudication evidence gate failed
F_064,dataset\fly_ball\Codex_Workstation\F_064,manual_review,18.143,,{},{},adjudication evidence gate failed
F_065,dataset\fly_ball\Codex_Workstation\F_065,manual_applied,,,{},{},The current 0.970-1.070 interval contains the visible collision and isolated 1.02 s broadband transient; reject the impossible 0.00-0.04 model proposal.
F_066,dataset\fly_ball\Codex_Workstation\F_066,manual_applied,,,{},{},25 fps frames show contact near 1.92 s and the spectrogram contains a clear isolated broadband transient at the same time.
F_067,dataset\fly_ball\Codex_Workstation\F_067,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_068,dataset\fly_ball\Codex_Workstation\F_068,manual_applied,,,{},{},Current interval covers the visible swing and has a local transient ratio of 10.16; reject weaker proposed timing.
F_069,dataset\fly_ball\Codex_Workstation\F_069,manual_applied,,,{},{},"25 fps frames place contact in the current 4.120-4.220 interval and the local transient ratio is 4.16; full-play frames support zone 7, high strength, and fly trajectory."
F_070,dataset\fly_ball\Codex_Workstation\F_070,manual_applied,,"event_start,event_end","{""event_end"": ""2.880"", ""event_start"": ""2.780""}","{""event_end"": ""3.210"", ""event_start"": ""3.110""}","25 fps frames place contact at about 3.16 s and the local transient ratio is 3.10; retain zone 7, medium strength, and line-drive fields from the complete play."
F_071,dataset\fly_ball\Codex_Workstation\F_071,manual_applied,,,{},{},Current interval covers the visible swing and passes the local transient threshold; proposed timing is weaker.
F_072,dataset\fly_ball\Codex_Workstation\F_072,manual_review,6.649,,{},{},adjudication evidence gate failed
F_073,dataset\fly_ball\Codex_Workstation\F_073,auto_applied,8.481,,{},{},"strict timing, semantics, and adjudication gates passed"
F_074,dataset\fly_ball\Codex_Workstation\F_074,auto_applied,10.498,"landing_zone,event_start,event_end","{""event_end"": ""2.080"", ""event_start"": ""1.980"", ""landing_zone"": ""3""}","{""event_end"": ""2.130"", ""event_start"": ""2.030"", ""landing_zone"": ""1""}","strict timing, semantics, and adjudication gates passed"
F_075,dataset\fly_ball\Codex_Workstation\F_075,manual_review,2.351,,{},{},adjudication evidence gate failed
F_076,dataset\fly_ball\Codex_Workstation\F_076,manual_review,6.121,,{},{},adjudication evidence gate failed
F_077,dataset\fly_ball\Codex_Workstation\F_077,manual_review,3.266,,{},{},adjudication evidence gate failed
F_078,dataset\fly_ball\Codex_Workstation\F_078,manual_reject,,,{},{},"The clip begins after the actual collision; 25 fps review around the apparent 1.17 s audio peak and the labeled 2.32-2.42 s interval shows only follow-through or a camera cut, so contact is absent."
F_079,dataset\fly_ball\Codex_Workstation\F_079,manual_review,8.754,,{},{},adjudication evidence gate failed
F_080,dataset\fly_ball\Codex_Workstation\F_080,manual_review,14.811,,{},{},adjudication evidence gate failed
F_081,dataset\fly_ball\Codex_Workstation\F_081,manual_applied,,"event_start,event_end","{""event_end"": ""3.240"", ""event_start"": ""3.140""}","{""event_end"": ""4.410"", ""event_start"": ""4.310""}","25 fps frames place contact at about 4.36 s and the local transient ratio is 5.65; retain zone 5, medium strength, and line-drive fields."
F_082,dataset\fly_ball\Codex_Workstation\F_082,manual_review,4.326,,{},{},adjudication evidence gate failed
F_083,dataset\fly_ball\Codex_Workstation\F_083,manual_review,6.350,,{},{},adjudication evidence gate failed
F_084,dataset\fly_ball\Codex_Workstation\F_084,manual_review,15.341,,{},{},adjudication evidence gate failed
F_085,dataset\fly_ball\Codex_Workstation\F_085,manual_applied,,"event_start,event_end","{""event_end"": ""4.640"", ""event_start"": ""4.540""}","{""event_end"": ""3.170"", ""event_start"": ""3.070""}",25 fps frames place contact at about 3.12 s and the local transient ratio is 4.02; replace the late 4.540-4.640 interval and retain zone 2 medium pop-fly fields.
F_086,dataset\fly_ball\Codex_Workstation\F_086,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_087,dataset\fly_ball\Codex_Workstation\F_087,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_088,dataset\fly_ball\Codex_Workstation\F_088,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_089,dataset\fly_ball\Codex_Workstation\F_089,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_090,dataset\fly_ball\Codex_Workstation\F_090,manual_applied,,"event_start,event_end","{""event_end"": ""4.720"", ""event_start"": ""4.620""}","{""event_end"": ""3.490"", ""event_start"": ""3.390""}",25 fps frames place contact at about 3.44 s and the local transient ratio is 20.29; replace the late 4.620-4.720 interval and retain zone 1 medium line-drive fields.
F_091,dataset\fly_ball\Codex_Workstation\F_091,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_092,dataset\fly_ball\Codex_Workstation\F_092,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_093,dataset\fly_ball\Codex_Workstation\F_093,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_094,dataset\fly_ball\Codex_Workstation\F_094,manual_applied,,"event_start,event_end","{""event_end"": ""2.540"", ""event_start"": ""2.440""}","{""event_end"": ""1.470"", ""event_start"": ""1.370""}",25 fps frames and the isolated 1.42 s broadband transient identify contact there; replace the late 2.440-2.540 interval and retain zone 4 high fly fields.
F_095,dataset\fly_ball\Codex_Workstation\F_095,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_096,dataset\fly_ball\Codex_Workstation\F_096,manual_review,10.383,,{},{},adjudication evidence gate failed
F_097,dataset\fly_ball\Codex_Workstation\F_097,manual_review,8.599,,{},{},adjudication evidence gate failed
F_098,dataset\fly_ball\Codex_Workstation\F_098,manual_review,10.493,,{},{},adjudication evidence gate failed
F_099,dataset\fly_ball\Codex_Workstation\F_099,manual_review,7.233,,{},{},adjudication evidence gate failed
F_100,dataset\fly_ball\Codex_Workstation\F_100,manual_review,6.909,,{},{},adjudication evidence gate failed
F_101,dataset\fly_ball\Codex_Workstation\F_101,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_102,dataset\fly_ball\Codex_Workstation\F_102,manual_review,2.567,,{},{},adjudication evidence gate failed
F_103,dataset\fly_ball\Codex_Workstation\F_103,manual_applied,,"event_start,event_end","{""event_end"": ""2.700"", ""event_start"": ""2.600""}","{""event_end"": ""1.510"", ""event_start"": ""1.410""}",25 fps frames and the isolated 1.46 s broadband transient identify contact there; replace the late 2.600-2.700 interval and retain MLB-supported zone 3 medium fly fields.
F_104,dataset\fly_ball\Codex_Workstation\F_104,manual_review,9.455,,{},{},adjudication evidence gate failed
F_105,dataset\fly_ball\Codex_Workstation\F_105,manual_review,5.441,,{},{},adjudication evidence gate failed
F_106,dataset\fly_ball\Codex_Workstation\F_106,manual_review,3.353,,{},{},adjudication evidence gate failed
F_107,dataset\fly_ball\Codex_Workstation\F_107,manual_review,3.818,,{},{},adjudication evidence gate failed
F_108,dataset\fly_ball\Codex_Workstation\F_108,manual_review,2.477,,{},{},adjudication evidence gate failed
F_109,dataset\fly_ball\Codex_Workstation\F_109,manual_applied,,,{},{},"Current interval covers visible contact and the local transient ratio is 1.94, within manual tolerance for the noisy broadcast baseline."
F_110,dataset\fly_ball\Codex_Workstation\F_110,manual_review,6.906,,{},{},adjudication evidence gate failed
F_111,dataset\fly_ball\Codex_Workstation\F_111,manual_review,13.417,,{},{},adjudication evidence gate failed
F_112,dataset\fly_ball\Codex_Workstation\F_112,manual_review,5.157,,{},{},adjudication evidence gate failed
F_113,dataset\fly_ball\Codex_Workstation\F_113,manual_review,9.618,,{},{},adjudication evidence gate failed
F_114,dataset\fly_ball\Codex_Workstation\F_114,manual_review,2.386,,{},{},adjudication evidence gate failed
F_115,dataset\fly_ball\Codex_Workstation\F_115,manual_review,7.879,,{},{},adjudication evidence gate failed
F_116,dataset\fly_ball\Codex_Workstation\F_116,manual_review,13.395,,{},{},adjudication evidence gate failed
F_117,dataset\fly_ball\Codex_Workstation\F_117,manual_review,14.271,,{},{},adjudication evidence gate failed
F_118,dataset\fly_ball\Codex_Workstation\F_118,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_119,dataset\fly_ball\Codex_Workstation\F_119,manual_applied,,,{},{},"MLB source and the full play identify a line-drive triple, not a ground ball. The current contact interval has a local transient ratio of 2.21; retain fly_ball, zone 6, medium strength, and line_drive."
F_120,dataset\fly_ball\Codex_Workstation\F_120,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_121,dataset\fly_ball\Codex_Workstation\F_121,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_123,dataset\fly_ball\Codex_Workstation\F_123,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_124,dataset\fly_ball\Codex_Workstation\F_124,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_125,dataset\fly_ball\Codex_Workstation\F_125,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_126,dataset\fly_ball\Codex_Workstation\F_126,manual_review,,,{},{},foundational audio-visual evidence gate failed
F_127,dataset\fly_ball\Codex_Workstation\F_127,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_001,dataset\ground_ball\Codex_Workstation\G_001,manual_applied,,"region,bounce","{""bounce"": ""yes"", ""region"": ""4""}","{""bounce"": ""Full-play frames and MLB source identify the second baseman fielding the grounder; under the fixed home-to-second wedge map this is region 3, not region 4. Contact remains aligned near 1.52 s and the receiving play is below knee height."", ""region"": ""yes""}",
G_002,dataset\ground_ball\Codex_Workstation\G_002,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_003,dataset\ground_ball\Codex_Workstation\G_003,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_004,dataset\ground_ball\Codex_Workstation\G_004,manual_applied,,"region,bounce","{""bounce"": ""yes"", ""region"": ""2""}","{""bounce"": ""MLB source identifies Tyler Callihan as the pitcher; full-play frames show the comebacker on the first-base side of the home-to-second line, so region 3 replaces region 2. The visible swing and 1.47 s audio peak support the existing 1.420-1.520 interval."", ""region"": ""yes""}",
G_005,dataset\ground_ball\Codex_Workstation\G_005,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_006,dataset\ground_ball\Codex_Workstation\G_006,manual_applied,,"region,bounce","{""bounce"": ""no"", ""region"": ""4""}","{""bounce"": ""Full-play and contact-neighborhood review confirms the 2.460-2.560 timing and right-field-side region 4. Bounce is locked to no under the user-defined receiving-height rule."", ""region"": ""no""}",
G_007,dataset\ground_ball\Codex_Workstation\G_007,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_008,dataset\ground_ball\Codex_Workstation\G_008,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_009,dataset\ground_ball\Codex_Workstation\G_009,manual_applied,,,{},{},"The prior 2.220-2.320 interval was after the camera cut. The repaired interval brackets the visible collision and 1.02 s transient; the ball deflects off third base, fixing region 1 and bounce no."
G_010,dataset\ground_ball\Codex_Workstation\G_010,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_011,dataset\ground_ball\Codex_Workstation\G_011,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_012,dataset\ground_ball\Codex_Workstation\G_012,manual_applied,,"region,bounce","{""bounce"": ""yes"", ""region"": ""1""}","{""bounce"": ""Contact and the 2.04 s audio peak align in the current interval. MLB source and full-play frames show a third-baseman grounder, fixing region 1; the low fielding moment supports bounce yes."", ""region"": ""yes""}",
G_013,dataset\ground_ball\Codex_Workstation\G_013,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_014,dataset\ground_ball\Codex_Workstation\G_014,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_015,dataset\ground_ball\Codex_Workstation\G_015,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_016,dataset\ground_ball\Codex_Workstation\G_016,manual_applied,,"region,bounce","{""bounce"": ""yes"", ""region"": ""2""}","{""bounce"": ""Contact and the 1.26 s transient align. MLB source and full-play frames show CJ Abrams fielding on the shortstop side, fixing region 2; the low backhand receiving moment supports bounce yes."", ""region"": ""yes""}",
G_017,dataset\ground_ball\Codex_Workstation\G_017,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_018,dataset\ground_ball\Codex_Workstation\G_018,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_019,dataset\ground_ball\Codex_Workstation\G_019,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_020,dataset\ground_ball\Codex_Workstation\G_020,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_021,dataset\ground_ball\Codex_Workstation\G_021,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_022,dataset\ground_ball\Codex_Workstation\G_022,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_023,dataset\ground_ball\Codex_Workstation\G_023,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_024,dataset\ground_ball\Codex_Workstation\G_024,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_025,dataset\ground_ball\Codex_Workstation\G_025,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_026,dataset\ground_ball\Codex_Workstation\G_026,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_027,dataset\ground_ball\Codex_Workstation\G_027,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_028,dataset\ground_ball\Codex_Workstation\G_028,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_029,dataset\ground_ball\Codex_Workstation\G_029,manual_review,7.712,,{},{},adjudication evidence gate failed
G_030,dataset\ground_ball\Codex_Workstation\G_030,manual_review,17.919,,{},{},adjudication evidence gate failed
G_031,dataset\ground_ball\Codex_Workstation\G_031,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_032,dataset\ground_ball\Codex_Workstation\G_032,manual_review,51.328,,{},{},adjudication evidence gate failed
G_033,dataset\ground_ball\Codex_Workstation\G_033,manual_review,,,{},{},class change requires directory and sample-id migration
G_034,dataset\ground_ball\Codex_Workstation\G_034,auto_applied,28.899,"event_start,event_end","{""event_end"": ""1.080"", ""event_start"": ""0.980""}","{""event_end"": ""1.030"", ""event_start"": ""0.970""}","strict timing, semantics, and adjudication gates passed"
G_035,dataset\ground_ball\Codex_Workstation\G_035,auto_applied,2.612,,{},{},"strict timing, semantics, and adjudication gates passed"
G_036,dataset\ground_ball\Codex_Workstation\G_036,auto_applied,17.017,,{},{},"strict timing, semantics, and adjudication gates passed"
G_037,dataset\ground_ball\Codex_Workstation\G_037,auto_applied,4.130,,{},{},"strict timing, semantics, and adjudication gates passed"
G_038,dataset\ground_ball\Codex_Workstation\G_038,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_039,dataset\ground_ball\Codex_Workstation\G_039,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_040,dataset\ground_ball\Codex_Workstation\G_040,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_041,dataset\ground_ball\Codex_Workstation\G_041,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_042,dataset\ground_ball\Codex_Workstation\G_042,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_043,dataset\ground_ball\Codex_Workstation\G_043,manual_review,,,{},{},foundational audio-visual evidence gate failed
G_044,dataset\ground_ball\Codex_Workstation\G_044,auto_applied,43.589,"event_start,event_end","{""event_end"": ""1.760"", ""event_start"": ""1.660""}","{""event_end"": ""1.850"", ""event_start"": ""1.700""}","strict timing, semantics, and adjudication gates passed"
