global_index,repair_batch_index,collector,sample_id,main_relative_path,before_event_start,before_event_end,after_event_start,after_event_end,outcome,category,action,first_pass_disposition,first_pass_model,independent_review_model,old_prefilter_status,old_primary_error
1193,15,Zhengxuan_Liu,F_020,dataset/fly_ball/Zhengxuan_Liu/F_020,1.127,1.132,1.080,1.180,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1192,16,Zhengxuan_Liu,F_019,dataset/fly_ball/Zhengxuan_Liu/F_019,0.866,0.874,0.821,0.921,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1191,17,Zhengxuan_Liu,F_018,dataset/fly_ball/Zhengxuan_Liu/F_018,0.998,1.008,0.950,1.050,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1190,18,Zhengxuan_Liu,F_017,dataset/fly_ball/Zhengxuan_Liu/F_017,0.788,0.796,0.741,0.841,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1189,19,Zhengxuan_Liu,F_016,dataset/fly_ball/Zhengxuan_Liu/F_016,0.838,0.847,0.791,0.891,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1188,20,Zhengxuan_Liu,F_015,dataset/fly_ball/Zhengxuan_Liu/F_015,0.603,0.62,0.561,0.661,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1187,21,Zhengxuan_Liu,F_014,dataset/fly_ball/Zhengxuan_Liu/F_014,1.893,1.903,1.848,1.948,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1186,22,Zhengxuan_Liu,F_013,dataset/fly_ball/Zhengxuan_Liu/F_013,2.134,2.142,2.088,2.188,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1185,23,Zhengxuan_Liu,F_012,dataset/fly_ball/Zhengxuan_Liu/F_012,1.301,1.312,1.255,1.355,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1184,24,Zhengxuan_Liu,F_011,dataset/fly_ball/Zhengxuan_Liu/F_011,0.816,0.826,0.771,0.871,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1183,25,Zhengxuan_Liu,F_010,dataset/fly_ball/Zhengxuan_Liu/F_010,0.837,0.846,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1182,26,Zhengxuan_Liu,F_009,dataset/fly_ball/Zhengxuan_Liu/F_009,0.823,0.833,0.776,0.876,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1181,27,Zhengxuan_Liu,F_008,dataset/fly_ball/Zhengxuan_Liu/F_008,1.427,1.436,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1180,28,Zhengxuan_Liu,F_007,dataset/fly_ball/Zhengxuan_Liu/F_007,0.642,0.656,0.596,0.696,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1179,29,Zhengxuan_Liu,F_006,dataset/fly_ball/Zhengxuan_Liu/F_006,1.207,1.22,0.641,0.741,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1178,30,Zhengxuan_Liu,F_005,dataset/fly_ball/Zhengxuan_Liu/F_005,1.947,1.951,1.898,1.998,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1177,31,Zhengxuan_Liu,F_004,dataset/fly_ball/Zhengxuan_Liu/F_004,2.296,2.301,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1176,32,Zhengxuan_Liu,F_003,dataset/fly_ball/Zhengxuan_Liu/F_003,2.043,2.051,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1175,33,Zhengxuan_Liu,F_002,dataset/fly_ball/Zhengxuan_Liu/F_002,1.635,1.638,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1174,34,Zhengxuan_Liu,F_001,dataset/fly_ball/Zhengxuan_Liu/F_001,1.508,1.517,1.459,1.559,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1173,35,Codex_Workstation,F_1289,dataset/fly_ball/Codex_Workstation/F_1289,1.950,2.050,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1172,36,Codex_Workstation,F_1288,dataset/fly_ball/Codex_Workstation/F_1288,1.950,2.050,0.912,1.012,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1171,37,Codex_Workstation,F_1287,dataset/fly_ball/Codex_Workstation/F_1287,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1170,38,Codex_Workstation,F_1286,dataset/fly_ball/Codex_Workstation/F_1286,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1169,39,Codex_Workstation,F_1285,dataset/fly_ball/Codex_Workstation/F_1285,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1168,40,Codex_Workstation,F_1284,dataset/fly_ball/Codex_Workstation/F_1284,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1167,41,Codex_Workstation,F_1283,dataset/fly_ball/Codex_Workstation/F_1283,1.950,2.050,1.957,2.057,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1166,42,Codex_Workstation,F_1282,dataset/fly_ball/Codex_Workstation/F_1282,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1165,43,Codex_Workstation,F_1281,dataset/fly_ball/Codex_Workstation/F_1281,1.950,2.050,,,needs_source_recut,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,needs_source_recut,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1164,44,Codex_Workstation,F_1280,dataset/fly_ball/Codex_Workstation/F_1280,3.860,3.960,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1163,45,Codex_Workstation,F_1279,dataset/fly_ball/Codex_Workstation/F_1279,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1162,46,Codex_Workstation,F_1278,dataset/fly_ball/Codex_Workstation/F_1278,1.830,1.930,1.848,1.948,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,direct_use_candidate,audio_and_context_pass
1161,47,Codex_Workstation,F_1277,dataset/fly_ball/Codex_Workstation/F_1277,1.950,2.050,,,needs_source_recut,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,needs_source_recut,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1160,48,Codex_Workstation,F_1276,dataset/fly_ball/Codex_Workstation/F_1276,0.230,0.330,2.618,2.718,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1159,49,Codex_Workstation,F_1275,dataset/fly_ball/Codex_Workstation/F_1275,1.950,2.050,0.847,0.947,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,source_recovery_required
1158,50,Codex_Workstation,F_1273,dataset/fly_ball/Codex_Workstation/F_1273,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1157,51,Codex_Workstation,F_1272,dataset/fly_ball/Codex_Workstation/F_1272,1.950,2.050,,,needs_source_recut,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,needs_source_recut,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1156,52,Codex_Workstation,F_1271,dataset/fly_ball/Codex_Workstation/F_1271,5.310,5.410,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1155,53,Codex_Workstation,F_1270,dataset/fly_ball/Codex_Workstation/F_1270,1.950,2.050,1.977,2.077,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1154,54,Codex_Workstation,F_1269,dataset/fly_ball/Codex_Workstation/F_1269,5.728,5.828,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1153,55,Codex_Workstation,F_1268,dataset/fly_ball/Codex_Workstation/F_1268,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1152,56,Codex_Workstation,F_1267,dataset/fly_ball/Codex_Workstation/F_1267,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1151,57,Codex_Workstation,F_1266,dataset/fly_ball/Codex_Workstation/F_1266,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1150,58,Codex_Workstation,F_1265,dataset/fly_ball/Codex_Workstation/F_1265,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1149,59,Codex_Workstation,F_1264,dataset/fly_ball/Codex_Workstation/F_1264,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1148,60,Codex_Workstation,F_1263,dataset/fly_ball/Codex_Workstation/F_1263,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1147,61,Codex_Workstation,F_1262,dataset/fly_ball/Codex_Workstation/F_1262,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1146,62,Codex_Workstation,F_1261,dataset/fly_ball/Codex_Workstation/F_1261,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1145,63,Codex_Workstation,F_1260,dataset/fly_ball/Codex_Workstation/F_1260,5.543,5.643,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1144,64,Codex_Workstation,F_1258,dataset/fly_ball/Codex_Workstation/F_1258,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1143,65,Codex_Workstation,F_1257,dataset/fly_ball/Codex_Workstation/F_1257,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1142,66,Codex_Workstation,F_1255,dataset/fly_ball/Codex_Workstation/F_1255,3.066,3.166,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1141,67,Codex_Workstation,F_1254,dataset/fly_ball/Codex_Workstation/F_1254,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1140,68,Codex_Workstation,F_1253,dataset/fly_ball/Codex_Workstation/F_1253,3.964,4.064,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1139,69,Codex_Workstation,F_1252,dataset/fly_ball/Codex_Workstation/F_1252,6.615,6.715,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1138,70,Codex_Workstation,F_1251,dataset/fly_ball/Codex_Workstation/F_1251,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1137,71,Codex_Workstation,F_1250,dataset/fly_ball/Codex_Workstation/F_1250,1.950,2.050,0.813,0.913,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1136,72,Codex_Workstation,F_1249,dataset/fly_ball/Codex_Workstation/F_1249,3.601,3.701,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1135,73,Codex_Workstation,F_1248,dataset/fly_ball/Codex_Workstation/F_1248,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1134,74,Codex_Workstation,F_1247,dataset/fly_ball/Codex_Workstation/F_1247,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1133,75,Codex_Workstation,F_1246,dataset/fly_ball/Codex_Workstation/F_1246,1.790,1.890,1.822,1.922,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,direct_use_candidate,audio_and_context_pass
1132,76,Codex_Workstation,F_1245,dataset/fly_ball/Codex_Workstation/F_1245,5.589,5.689,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1131,77,Codex_Workstation,F_1244,dataset/fly_ball/Codex_Workstation/F_1244,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1130,78,Codex_Workstation,F_1243,dataset/fly_ball/Codex_Workstation/F_1243,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1129,79,Codex_Workstation,F_1242,dataset/fly_ball/Codex_Workstation/F_1242,1.950,2.050,,,needs_source_recut,candidate_rejected_by_independent_review,recover source and replace only after a new full review,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1128,80,Codex_Workstation,F_1240,dataset/fly_ball/Codex_Workstation/F_1240,1.950,2.050,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1127,81,Codex_Workstation,F_1239,dataset/fly_ball/Codex_Workstation/F_1239,1.950,2.050,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1126,82,Codex_Workstation,F_1238,dataset/fly_ball/Codex_Workstation/F_1238,1.950,2.050,,,needs_source_recut,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,needs_source_recut,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1125,83,Codex_Workstation,F_1237,dataset/fly_ball/Codex_Workstation/F_1237,3.555,3.655,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,source_recovery_required
1124,84,Codex_Workstation,F_1235,dataset/fly_ball/Codex_Workstation/F_1235,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1123,85,Codex_Workstation,F_1234,dataset/fly_ball/Codex_Workstation/F_1234,1.950,2.050,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,audio_candidate_review
1122,86,Codex_Workstation,F_1233,dataset/fly_ball/Codex_Workstation/F_1233,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1121,87,Codex_Workstation,F_1232,dataset/fly_ball/Codex_Workstation/F_1232,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1120,88,Codex_Workstation,F_1231,dataset/fly_ball/Codex_Workstation/F_1231,0.990,1.090,1.022,1.122,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1119,89,Codex_Workstation,F_1230,dataset/fly_ball/Codex_Workstation/F_1230,0.970,1.070,1.008,1.108,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1118,90,Codex_Workstation,F_1229,dataset/fly_ball/Codex_Workstation/F_1229,1.170,1.270,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
1117,91,Codex_Workstation,F_1228,dataset/fly_ball/Codex_Workstation/F_1228,1.950,2.050,,,needs_source_recut,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,needs_source_recut_no_visual_contact,qwen3.5-omni-plus,qwen3.5-omni-plus,direct_use_candidate,audio_and_context_pass
