sample_path,sample_id,label,old_region,new_region,suggested_region,old_bounce,new_bounce,old_event_start,old_event_end,new_event_start,new_event_end,changed_fields,region_status,bounce_status,time_status,audio_diff_peak_time,review_note,change_reason,time_reason,region_hint,clip_id
dataset\fly_ball\Codex_Workstation\F_011,F_011,fly_ball,,,,,,1.060,1.160,1.060,1.160,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.120,,,,,MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_012,F_012,fly_ball,,,,,,3.380,3.480,3.380,3.480,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.420,,,,,MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_013,F_013,fly_ball,,,,,,3.300,3.400,3.300,3.400,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.360,,,,,MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_014,F_014,fly_ball,,,,,,1.100,1.200,1.100,1.200,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.140,,,,,MLB_823684_cade-smith-in-play-out-s-to-brooks-lee-uqgy1v_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_015,F_015,fly_ball,,,,,,0.960,1.060,0.960,1.060,,not_applicable,not_applicable,needs_visual_review,4.120,,,global_audio_diff_peak_outside_event_tolerance:4.120,,MLB_824263_dillon-dingler-lines-out-to-second-baseman-sam-antonacci_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_016,F_016,fly_ball,,,,,,3.660,3.760,3.660,3.760,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.720,,,,,MLB_823532_jj-bleday-flies-out-to-left-fielder-jose-caballero_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_017,F_017,fly_ball,,,,,,1.180,1.280,1.180,1.280,,not_applicable,not_applicable,needs_visual_review,4.000,,,global_audio_diff_peak_outside_event_tolerance:4.000,,MLB_824665_jacob-webb-in-play-run-s-to-vladimir-guerrero-jr_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_018,F_018,fly_ball,,,,,,1.920,2.020,1.920,2.020,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.960,,,,,MLB_825068_royce-lewis-flies-out-to-right-fielder-corbin-carroll_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_019,F_019,fly_ball,,,,,,3.680,3.780,3.680,3.780,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,4.000,,,,,MLB_825068_lujames-groover-flies-out-to-left-fielder-austin-martin_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_020,F_020,fly_ball,,,,,,0.780,0.880,0.780,0.880,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,0.820,,,,,MLB_824343_juan-mejia-in-play-run-s-to-jake-mangum_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_021,F_021,fly_ball,,,,,,1.540,1.640,1.540,1.640,,not_applicable,not_applicable,needs_visual_review,3.880,,,global_audio_diff_peak_outside_event_tolerance:3.880,,MLB_824343_juan-mejia-in-play-run-s-to-tyler-callihan_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_022,F_022,fly_ball,,,,,,3.440,3.540,3.440,3.540,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.480,,,,,MLB_822800_dylan-cease-in-play-run-s-to-jose-altuve_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_023,F_023,fly_ball,,,,,,2.860,2.960,2.860,2.960,,not_applicable,not_applicable,needs_visual_review,4.520,,,global_audio_diff_peak_outside_event_tolerance:4.520,,MLB_822718_clayton-beeter-in-play-run-s-to-j-t-realmuto_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_024,F_024,fly_ball,,,,,,1.020,1.120,1.020,1.120,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.060,,,,,MLB_824340_mickey-moniak-lines-out-to-right-fielder-wilyer-abreu_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_025,F_025,fly_ball,,,,,,0.960,1.060,0.960,1.060,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.000,,,,,MLB_823611_brooks-raley-in-play-run-s-to-dansby-swanson_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_026,F_026,fly_ball,,,,,,2.300,2.400,2.300,2.400,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,2.340,,,,,MLB_823367_braxton-ashcraft-foul-to-randy-arozarena_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_027,F_027,fly_ball,,,,,,0.700,0.800,0.700,0.800,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,0.740,,,,,MLB_822965_griffin-jax-in-play-run-s-to-salvador-perez-x2441_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_028,F_028,fly_ball,,,,,,0.730,0.830,0.730,0.830,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,0.780,,,,,MLB_823208_shea-langeliers-flies-out-sharply-to-right-fielder-jung-hoo-lee_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_029,F_029,fly_ball,,,,,,3.180,3.280,3.180,3.280,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.220,,,,,MLB_823363_paul-skenes-in-play-run-s-to-tyler-stephenson_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_030,F_030,fly_ball,,,,,,3.200,3.300,3.200,3.300,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.240,,,,,MLB_823363_spencer-steer-singles-on-a-line-drive-to-center-fielder-jake-mangum-n_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_031,F_031,fly_ball,,,,,,0.980,1.080,0.980,1.080,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.020,,,,,MLB_822962_victor-mesa-jr-lines-out-sharply-to-right-fielder-corbin-carroll_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_032,F_032,fly_ball,,,,,,3.400,3.500,3.400,3.500,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.460,,,,,MLB_823039_max-rajcic-in-play-run-s-to-jakob-marsee_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_033,F_033,fly_ball,,,,,,1.720,1.820,1.720,1.820,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.780,,,,,MLB_824014_walbert-urena-in-play-run-s-to-shea-langeliers_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_034,F_034,fly_ball,,,,,,3.340,3.440,3.340,3.440,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.380,,,,,MLB_823285_rodolfo-duran-s-rbi-double_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_035,F_035,fly_ball,,,,,,3.660,3.760,3.660,3.760,,not_applicable,not_applicable,needs_visual_review,3.700,,,large_refinement_shift:2.950->3.710,,MLB_823364_chase-petty-in-play-out-s-to-ryan-o-hearn_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_036,F_036,fly_ball,,,,,,3.440,3.540,3.440,3.540,,not_applicable,not_applicable,needs_visual_review,3.500,,,large_refinement_shift:2.950->3.490,,MLB_824421_logan-gilbert-in-play-run-s-to-kahlil-watson_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_037,F_037,fly_ball,,,,,,1.600,1.700,1.600,1.700,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.640,,,,,MLB_822974_spencer-torkelson-lines-out-to-right-fielder-victor-mesa-jr_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_038,F_038,fly_ball,,,,,,1.680,1.780,1.680,1.780,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.740,,,,,MLB_822974_griffin-jax-in-play-out-s-to-hao-yu-lee-j7r3k9_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_039,F_039,fly_ball,,,,,,1.260,1.360,1.260,1.360,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.300,,,,,MLB_823780_robert-gasser-in-play-out-s-to-casey-schmitt-ke9jpz_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_040,F_040,fly_ball,,,,,,0.770,0.870,0.770,0.870,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,0.820,,,,,MLB_824675_jameson-taillon-in-play-out-s-to-jeff-mcneil_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_041,F_041,fly_ball,,,,,,3.400,3.500,3.400,3.500,,not_applicable,not_applicable,needs_visual_review,5.000,,,global_audio_diff_peak_outside_event_tolerance:5.000,,MLB_824675_ian-happ-flies-out-to-center-fielder-henry-bolte_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_042,F_042,fly_ball,,,,,,1.340,1.440,1.340,1.440,,not_applicable,not_applicable,needs_visual_review,3.760,,,global_audio_diff_peak_outside_event_tolerance:3.760;large_refinement_shift:2.050->1.390,,MLB_824026_grayson-rodriguez-in-play-out-s-to-willi-castro_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_043,F_043,fly_ball,,,,,,1.700,1.800,1.700,1.800,,not_applicable,not_applicable,needs_visual_review,5.460,,,global_audio_diff_peak_outside_event_tolerance:5.460,,MLB_824026_oswald-peraza-flies-out-to-second-baseman-willi-castro_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_044,F_044,fly_ball,,,,,,3.360,3.460,3.360,3.460,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.400,,,,,MLB_823542_slade-cecconi-in-play-run-s-to-jazz-chisholm-jr_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_045,F_045,fly_ball,,,,,,2.860,2.960,2.860,2.960,,not_applicable,not_applicable,needs_visual_review,3.380,,,global_audio_diff_peak_outside_event_tolerance:3.380;large_refinement_shift:2.250->2.910,,MLB_823542_jose-ramirez-lines-out-to-third-baseman-ryan-mcmahon-ahks4v_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_046,F_046,fly_ball,,,,,,0.860,0.960,0.860,0.960,,not_applicable,not_applicable,needs_visual_review,0.920,,,large_refinement_shift:1.500->0.910,,MLB_824672_shea-langeliers-inside-the-park-homer-16_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_047,F_047,fly_ball,,,,,,3.400,3.500,3.400,3.500,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.400,,,,,MLB_824350_brandon-sproat-in-play-run-s-to-edouard-julien_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_048,F_048,fly_ball,,,,,,2.820,2.920,2.820,2.920,,not_applicable,not_applicable,needs_visual_review,4.780,,,global_audio_diff_peak_outside_event_tolerance:4.780;large_refinement_shift:2.050->2.870,,MLB_822808_kyle-bradish-in-play-run-s-to-andres-gimenez_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_049,F_049,fly_ball,,,,,,4.000,4.100,4.000,4.100,,not_applicable,not_applicable,needs_visual_review,1.740,,,global_audio_diff_peak_outside_event_tolerance:1.740;large_refinement_shift:3.250->4.050,,MLB_822808_kyle-bradish-in-play-run-s-to-kazuma-okamoto_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_050,F_050,fly_ball,,,,,,2.140,2.240,2.140,2.240,,not_applicable,not_applicable,needs_visual_review,1.380,,,global_audio_diff_peak_outside_event_tolerance:1.380;large_refinement_shift:1.400->2.190,,MLB_825074_taylor-clarke-in-play-out-s-to-cj-abrams_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_051,F_051,fly_ball,,,,,,3.400,3.500,3.400,3.500,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.460,,,,,MLB_823858_otto-lopez-flies-out-to-center-fielder-ryan-waldschmidt_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_052,F_052,fly_ball,,,,,,1.780,1.880,1.780,1.880,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.820,,,,,MLB_823858_tommy-troy-lines-out-to-right-fielder-esteury-ruiz_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_053,F_053,fly_ball,,,,,,1.460,1.560,1.460,1.560,,not_applicable,not_applicable,needs_visual_review,3.660,,,global_audio_diff_peak_outside_event_tolerance:3.660;large_refinement_shift:2.050->1.510,,MLB_823856_ryne-nelson-in-play-run-s-to-otto-lopez_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_054,F_054,fly_ball,,,,,,1.240,1.340,1.240,1.340,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.280,,,,,MLB_824590_davis-martin-in-play-out-s-to-austin-wynns_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_055,F_055,fly_ball,,,,,,1.100,1.200,1.100,1.200,,not_applicable,not_applicable,needs_visual_review,5.820,,,global_audio_diff_peak_outside_event_tolerance:5.820,,MLB_824590_ozzie-albies-pops-out-to-second-baseman-chase-meidroth_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_056,F_056,fly_ball,,,,,,1.740,1.840,1.740,1.840,,not_applicable,not_applicable,needs_visual_review,2.320,,,global_audio_diff_peak_outside_event_tolerance:2.320,,MLB_823066_emmet-sheehan-in-play-run-s-to-alec-burleson_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_057,F_057,fly_ball,,,,,,3.280,3.380,3.280,3.380,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.320,,,,,MLB_823309_noah-schultz-in-play-no-out-to-fernando-tatis-jr-blj7vi_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_058,F_058,fly_ball,,,,,,2.240,2.340,2.240,2.340,,not_applicable,not_applicable,needs_visual_review,2.280,,,large_refinement_shift:2.950->2.290,,MLB_823388_yohan-ramirez-in-play-out-s-to-spencer-steer_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_059,F_059,fly_ball,,,,,,1.340,1.440,1.340,1.440,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.400,,,,,MLB_822988_heliot-ramos-fly-out-confirmed-after-a-review_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_060,F_060,fly_ball,,,,,,3.360,3.460,3.360,3.460,,not_applicable,not_applicable,needs_visual_review,3.420,,,large_refinement_shift:3.950->3.410,,MLB_822987_luis-arraez-lines-out-to-left-fielder-chandler-simpson_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_061,F_061,fly_ball,,,,,,1.180,1.280,1.180,1.280,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.220,,,,,MLB_823875_chris-paddack-in-play-out-s-to-trea-turner-95qrcu_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_062,F_062,fly_ball,,,,,,1.760,1.860,1.760,1.860,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.820,,,,,MLB_824043_brooks-raley-in-play-out-s-to-vaughn-grissom-od6ajn_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_063,F_063,fly_ball,,,,,,2.200,2.300,2.200,2.300,,not_applicable,not_applicable,needs_visual_review,2.260,,,large_refinement_shift:2.950->2.250,,MLB_824043_josh-lowe-flies-out-to-right-fielder-carson-benge_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_064,F_064,fly_ball,,,,,,4.760,4.860,4.760,4.860,,not_applicable,not_applicable,needs_visual_review,6.640,,,global_audio_diff_peak_outside_event_tolerance:6.640;large_refinement_shift:4.000->4.810,,MLB_822984_nick-martinez-in-play-out-s-to-brandon-valenzuela_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_065,F_065,fly_ball,,,,,,0.970,1.070,0.970,1.070,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.020,,,,,MLB_824684_emilio-pagan-in-play-run-s-to-nico-hoerner_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_066,F_066,fly_ball,,,,,,1.870,1.970,1.870,1.970,,not_applicable,not_applicable,needs_visual_review,1.920,,,large_refinement_shift:1.150->1.920,,MLB_824120_michael-wacha-in-play-out-s-to-travis-bazzana_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_067,F_067,fly_ball,,,,,,0.570,0.670,0.570,0.670,,not_applicable,not_applicable,needs_visual_review,1.900,,,global_audio_diff_peak_outside_event_tolerance:1.900,,MLB_824201_ryan-weiss-in-play-run-s-to-kyle-tucker_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_068,F_068,fly_ball,,,,,,3.600,3.700,3.600,3.700,,not_applicable,not_applicable,needs_visual_review,3.640,,,large_refinement_shift:4.200->3.650,,MLB_823143_drake-baldwin-homers-9-on-a-fly-ball-to-center-field-s8z3vx_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_069,F_069,fly_ball,,,,,,4.120,4.220,4.120,4.220,,not_applicable,not_applicable,needs_visual_review,3.340,,,global_audio_diff_peak_outside_event_tolerance:3.340,,MLB_822985_vladimir-guerrero-jr-flies-out-to-left-fielder-chandler-simpson_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_070,F_070,fly_ball,,,,,,2.780,2.880,2.780,2.880,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,2.840,,,,,MLB_824767_ryan-watson-in-play-no-out-to-yandy-diaz_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_071,F_071,fly_ball,,,,,,1.110,1.210,1.110,1.210,,not_applicable,not_applicable,needs_visual_review,5.140,,,global_audio_diff_peak_outside_event_tolerance:5.140,,MLB_822822_louis-varland-in-play-out-s-to-yoan-moncada_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_072,F_072,fly_ball,,,,,,3.500,3.600,3.500,3.600,,not_applicable,not_applicable,needs_visual_review,5.560,,,global_audio_diff_peak_outside_event_tolerance:5.560,,MLB_822904_andrew-mccutchen-flies-out-to-center-fielder-pete-crow-armstrong-iyip_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_073,F_073,fly_ball,,,,,,1.030,1.130,1.030,1.130,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.080,,,,,MLB_823303_masyn-winn-s-sacrifice-fly_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_074,F_074,fly_ball,,,,,,1.980,2.080,1.980,2.080,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,2.040,,,,,MLB_825089_merrill-kelly-in-play-out-s-to-bo-bichette_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_075,F_075,fly_ball,,,,,,1.380,1.480,1.380,1.480,,not_applicable,not_applicable,needs_visual_review,4.280,,,global_audio_diff_peak_outside_event_tolerance:4.280,,MLB_823955_spencer-strider-in-play-out-s-to-max-muncy_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_076,F_076,fly_ball,,,,,,1.980,2.080,1.980,2.080,,not_applicable,not_applicable,needs_visual_review,3.760,,,global_audio_diff_peak_outside_event_tolerance:3.760,,MLB_823954_raisel-iglesias-finishes-the-braves-7-2-win_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_077,F_077,fly_ball,,,,,,4.200,4.300,4.200,4.300,,not_applicable,not_applicable,needs_visual_review,3.920,,,large_refinement_shift:3.600->4.250,,MLB_824441_jose-ramirez-lines-out-sharply-to-left-fielder-bryce-teodosio_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_078,F_078,fly_ball,,,,,,2.320,2.420,2.320,2.420,,not_applicable,not_applicable,needs_visual_review,2.020,,,large_refinement_shift:1.550->2.370,,MLB_824844_coby-mayo-homers-4-on-a-fly-ball-to-left-field-adley-rutschman-scores_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_079,F_079,fly_ball,,,,,,2.600,2.700,2.600,2.700,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,2.660,,,,,MLB_824199_peter-lambert-in-play-out-s-to-julio-rodriguez_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_080,F_080,fly_ball,,,,,,2.040,2.140,2.040,2.140,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,2.080,,,,,MLB_823385_paul-skenes-in-play-no-out-to-mickey-moniak-bus4ip_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_081,F_081,fly_ball,,,,,,3.140,3.240,3.140,3.240,,not_applicable,not_applicable,needs_visual_review,4.780,,,global_audio_diff_peak_outside_event_tolerance:4.780,,MLB_824764_zack-wheeler-in-play-run-s-to-ceddanne-rafaela_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_082,F_082,fly_ball,,,,,,4.020,4.120,4.020,4.120,,not_applicable,not_applicable,needs_visual_review,6.920,,,global_audio_diff_peak_outside_event_tolerance:6.920;large_refinement_shift:3.400->4.070,,MLB_824764_zack-wheeler-in-play-out-s-to-wilyer-abreu-qhxplb_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_083,F_083,fly_ball,,,,,,1.640,1.740,1.640,1.740,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.420,,,,,MLB_824604_bryan-hudson-in-play-out-s-to-salvador-perez_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_084,F_084,fly_ball,,,,,,1.500,1.600,1.500,1.600,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.560,,,,,MLB_823712_jakob-marsee-s-running-grab-x6144_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_085,F_085,fly_ball,,,,,,4.540,4.640,4.540,4.640,,not_applicable,not_applicable,needs_visual_review,1.120,,,global_audio_diff_peak_outside_event_tolerance:1.120;large_refinement_shift:3.950->4.590,,MLB_822815_jake-fraley-pops-out-to-shortstop-andres-gimenez_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_086,F_086,fly_ball,,,,,,1.180,1.280,1.180,1.280,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.220,,,,,MLB_824603_miguel-vargas-flies-out-to-left-fielder-isaac-collins_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_087,F_087,fly_ball,,,,,,4.700,4.800,4.700,4.800,,not_applicable,not_applicable,needs_visual_review,4.180,,,global_audio_diff_peak_outside_event_tolerance:4.180,,MLB_824195_j-p-crawford-homers-5-on-a-fly-ball-to-right-field-7prgpm_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_088,F_088,fly_ball,,,,,,1.480,1.580,1.480,1.580,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.540,,,,,MLB_823383_carmen-mlodzinski-in-play-out-s-to-brenton-doyle_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_089,F_089,fly_ball,,,,,,1.840,1.940,1.840,1.940,,not_applicable,not_applicable,needs_visual_review,6.140,,,global_audio_diff_peak_outside_event_tolerance:6.140,,MLB_824517_james-wood-flies-out-to-left-fielder-spencer-steer_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_090,F_090,fly_ball,,,,,,4.620,4.720,4.620,4.720,,not_applicable,not_applicable,needs_visual_review,3.440,,,global_audio_diff_peak_outside_event_tolerance:3.440;large_refinement_shift:4.000->4.670,,MLB_824517_elly-de-la-cruz-singles-on-a-line-drive-to-left-fielder-daylen-lile_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_091,F_091,fly_ball,,,,,,2.160,2.260,2.160,2.260,,not_applicable,not_applicable,needs_visual_review,1.180,,,global_audio_diff_peak_outside_event_tolerance:1.180;large_refinement_shift:1.700->2.210,,MLB_825008_victor-scott-ii-homers-2-on-a-fly-ball-to-right-field-38a874_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_092,F_092,fly_ball,,,,,,1.700,1.800,1.700,1.800,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.760,,,,,MLB_823950_luis-arraez-bites-his-bat-in-frustration_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_093,F_093,fly_ball,,,,,,1.620,1.720,1.620,1.720,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.660,,,,,MLB_823384_aaron-nola-in-play-out-s-to-marcell-ozuna-nvap04_head_0p000_7p000
